Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
1.0,82.0,81.16666666666667,82.92857142857143,0.75,0.75,0.875,1,Kompeten,60200125122,A,UNIFIED
0.9375,74.66666666666667,68.0,81.28571428571429,0.75,0.625,0.875,0,Belum Kompeten,60200125147,A,UNIFIED
1.0,84.83333333333333,84.83333333333333,83.14285714285714,0.75,0.75,0.875,1,Kompeten,60200125151,A,UNIFIED
0.75,55.5,55.5,34.07142857142857,0.5,0.5,0.375,0,Belum Kompeten,60200125152,A,UNIFIED
1.0,83.33333333333333,83.33333333333333,89.57142857142857,0.75,0.75,0.875,1,Kompeten,60200125154,A,UNIFIED
1.0,90.125,90.125,58.4375,1.0,1.0,1.0,1,Kompeten,60200125009,B,UNIFIED
1.0,92.0,92.0,76.5625,1.0,1.0,1.0,1,Kompeten,60200125019,B,UNIFIED
1.0,93.375,93.375,82.375,1.0,1.0,1.0,1,Kompeten,60200125020,B,UNIFIED
1.0,92.25,92.25,81.3125,1.0,1.0,1.0,1,Kompeten,60200125021,B,UNIFIED
1.0,81.625,81.625,48.3125,0.875,0.875,0.875,1,Kompeten,60200125035,B,UNIFIED
1.0,92.0,92.0,51.25,1.0,1.0,1.0,0,Belum Kompeten,60200125036,B,UNIFIED
0.75,60.0,60.0,43.0,0.625,0.625,0.875,1,Kompeten,60200125048,B,UNIFIED
1.0,89.25,89.25,64.25,1.0,1.0,1.0,1,Kompeten,60200125055,B,UNIFIED
1.0,90.125,90.125,64.125,1.0,1.0,1.0,1,Kompeten,60200125056,B,UNIFIED
1.0,90.75,90.75,36.4375,1.0,1.0,0.75,1,Kompeten,60200125057,B,UNIFIED
0.875,91.125,91.125,76.875,1.0,1.0,1.0,1,Kompeten,60200125058,B,UNIFIED
0.875,70.25,70.25,58.9375,0.75,0.75,0.75,1,Kompeten,60200125072,B,UNIFIED
0.625,37.5,37.5,53.6875,0.375,0.375,1.0,1,Kompeten,60200125094,B,UNIFIED
0.875,60.0,60.0,75.375,0.625,0.625,0.875,1,Kompeten,60200125096,B,UNIFIED
1.0,80.25,80.25,81.75,0.875,0.875,1.0,1,Kompeten,60200125103,B,UNIFIED
1.0,91.625,91.625,82.1875,1.0,1.0,1.0,1,Kompeten,60200125104,B,UNIFIED
1.0,79.125,79.125,75.9375,0.875,0.875,1.0,1,Kompeten,60200125113,B,UNIFIED
0.875,78.0,78.0,57.625,0.875,0.875,1.0,1,Kompeten,60200125115,B,UNIFIED
0.875,56.75,56.75,71.75,0.625,0.625,0.875,1,Kompeten,60200125123,B,UNIFIED
0.625,32.75,32.75,5.375,0.375,0.375,0.125,1,Kompeten,60200125124,B,UNIFIED
0.875,58.0,58.0,47.375,0.625,0.625,0.875,1,Kompeten,60200125126,B,UNIFIED
0.875,55.0,55.0,36.9375,0.625,0.625,0.5,0,Belum Kompeten,60200125127,B,UNIFIED
1.0,80.75,80.75,47.5,0.875,0.875,1.0,1,Kompeten,60200125128,B,UNIFIED
0.875,56.0,56.0,43.1875,0.625,0.625,0.75,1,Kompeten,60200125129,B,UNIFIED
1.0,69.5,69.5,48.75,0.75,0.75,0.875,1,Kompeten,60200125155,B,UNIFIED
1.0,83.0,83.0,87.5,0.75,0.75,0.875,1,Kompeten,60200125010,C,UNIFIED
1.0,85.0,70.66666666666667,85.57142857142857,0.75,0.625,0.875,1,Kompeten,60200125011,C,UNIFIED
1.0,83.0,83.0,84.39285714285714,0.75,0.75,0.875,1,Kompeten,60200125022,C,UNIFIED
1.0,85.16666666666667,85.16666666666667,84.57142857142857,0.75,0.75,0.875,0,Belum Kompeten,60200125023,C,UNIFIED
1.0,85.83333333333333,82.66666666666667,84.78571428571429,0.75,0.75,0.875,1,Kompeten,60200125024,C,UNIFIED
0.75,82.33333333333333,54.666666666666664,76.21428571428571,0.75,0.5,0.875,0,Belum Kompeten,60200125038,C,UNIFIED
0.875,86.66666666666667,86.66666666666667,84.57142857142857,0.75,0.75,0.875,1,Kompeten,60200125039,C,UNIFIED
1.0,83.66666666666667,68.33333333333333,85.0,0.75,0.625,0.875,1,Kompeten,60200125040,C,UNIFIED
0.875,80.33333333333333,66.16666666666667,82.14285714285714,0.75,0.625,0.875,0,Belum Kompeten,60200125046,C,UNIFIED
0.75,77.0,57.0,72.64285714285714,0.75,0.5,0.875,0,Belum Kompeten,60200125059,C,UNIFIED
1.0,77.25,80.83333333333333,81.85714285714286,0.75,0.75,0.875,1,Kompeten,60200125060,C,UNIFIED
0.9375,86.33333333333333,68.83333333333333,85.64285714285714,0.75,0.625,0.875,1,Kompeten,60200125062,C,UNIFIED
1.0,87.33333333333333,87.33333333333333,85.25,0.75,0.75,0.875,1,Kompeten,60200125083,C,UNIFIED
0.625,66.91666666666667,39.333333333333336,82.14285714285714,0.75,0.375,0.875,0,Belum Kompeten,60200125084,C,UNIFIED
0.875,86.5,86.5,86.35714285714286,0.75,0.75,0.875,0,Belum Kompeten,60200125085,C,UNIFIED
0.875,81.66666666666667,82.66666666666667,81.24285714285715,0.75,0.75,0.875,0,Belum Kompeten,60200125086,C,UNIFIED
1.0,85.83333333333333,85.83333333333333,85.07142857142857,0.75,0.75,0.875,1,Kompeten,60200125087,C,UNIFIED
1.0,85.5,85.5,85.5,0.75,0.75,0.875,1,Kompeten,60200125105,C,UNIFIED
1.0,86.16666666666667,86.16666666666667,84.71428571428571,0.75,0.75,0.875,0,Belum Kompeten,60200125107,C,UNIFIED
0.625,67.16666666666667,67.16666666666667,68.5,0.625,0.625,0.75,0,Belum Kompeten,60200125131,C,UNIFIED
0.75,84.5,70.83333333333333,83.71428571428571,0.75,0.625,0.875,1,Kompeten,60200125132,C,UNIFIED
0.75,82.0,82.0,82.0,0.75,0.75,0.875,1,Kompeten,60200125133,C,UNIFIED
1.0,85.0,84.83333333333333,81.78571428571429,0.75,0.75,0.875,0,Belum Kompeten,60200125137,C,UNIFIED
0.8125,78.16666666666667,71.5,75.71428571428571,0.75,0.625,0.875,1,Kompeten,60200125156,C,UNIFIED
1.0,93.625,93.625,53.75,1.0,1.0,0.875,1,Kompeten,60200125004,D,UNIFIED
1.0,81.125,81.125,58.875,0.875,0.875,1.0,1,Kompeten,60200125013,D,UNIFIED
1.0,94.375,94.375,67.9375,1.0,1.0,1.0,1,Kompeten,60200125026,D,UNIFIED
1.0,81.75,81.75,59.125,0.875,0.875,1.0,1,Kompeten,60200125027,D,UNIFIED
1.0,93.0,93.0,48.5625,1.0,1.0,0.75,1,Kompeten,60200125030,D,UNIFIED
1.0,92.25,92.25,52.4375,1.0,1.0,1.0,1,Kompeten,60200125041,D,UNIFIED
1.0,94.0,94.0,58.75,1.0,1.0,1.0,1,Kompeten,60200125064,D,UNIFIED
1.0,93.75,93.75,58.9375,1.0,1.0,1.0,1,Kompeten,60200125066,D,UNIFIED
1.0,91.5,91.5,75.625,1.0,1.0,1.0,1,Kompeten,60200125067,D,UNIFIED
0.875,82.5,82.5,48.1875,0.875,0.875,1.0,0,Belum Kompeten,60200125068,D,UNIFIED
1.0,81.125,81.125,52.5,0.875,0.875,1.0,1,Kompeten,60200125071,D,UNIFIED
1.0,94.125,94.125,51.9375,1.0,1.0,0.875,1,Kompeten,60200125076,D,UNIFIED
1.0,94.25,94.25,58.75,1.0,1.0,1.0,1,Kompeten,60200125082,D,UNIFIED
1.0,81.625,81.625,64.625,0.875,0.875,1.0,1,Kompeten,60200125089,D,UNIFIED
1.0,94.25,94.25,58.75,1.0,1.0,1.0,1,Kompeten,60200125090,D,UNIFIED
1.0,91.625,91.625,58.8125,1.0,1.0,1.0,1,Kompeten,60200125093,D,UNIFIED
1.0,92.375,92.375,70.375,1.0,1.0,1.0,1,Kompeten,60200125108,D,UNIFIED
0.875,80.875,80.875,59.25,0.875,0.875,1.0,0,Belum Kompeten,60200125109,D,UNIFIED
0.875,81.75,81.75,69.3125,0.875,0.875,1.0,1,Kompeten,60200125110,D,UNIFIED
1.0,90.5,90.5,10.625,1.0,1.0,0.25,1,Kompeten,60200125138,D,UNIFIED
1.0,79.25,79.25,63.0,0.875,0.875,1.0,1,Kompeten,60200125139,D,UNIFIED
1.0,94.0,94.0,59.0,1.0,1.0,1.0,1,Kompeten,60200125140,D,UNIFIED
1.0,92.375,92.375,64.875,1.0,1.0,1.0,1,Kompeten,60200125141,D,UNIFIED
0.875,80.5,80.5,43.3125,0.875,0.875,0.75,1,Kompeten,60200125143,D,UNIFIED
1.0,94.375,94.375,54.375,1.0,1.0,1.0,1,Kompeten,60200125144,D,UNIFIED
1.0,90.5,90.5,57.5625,1.0,1.0,0.625,0,Belum Kompeten,60200125005,E,UNIFIED
0.875,73.125,73.125,77.5625,0.75,0.75,1.0,1,Kompeten,60200125014,E,UNIFIED
1.0,91.75,91.75,57.25,1.0,1.0,0.625,1,Kompeten,60200125015,E,UNIFIED
0.875,82.5,82.5,82.75,0.875,0.875,1.0,1,Kompeten,60200125028,E,UNIFIED
1.0,91.75,91.75,68.25,1.0,1.0,0.75,1,Kompeten,60200125029,E,UNIFIED
1.0,83.25,83.25,89.125,0.875,0.875,1.0,1,Kompeten,60200125042,E,UNIFIED
1.0,92.125,92.125,42.625,1.0,1.0,0.5,1,Kompeten,60200125045,E,UNIFIED
0.875,80.625,80.625,80.875,0.875,0.875,1.0,1,Kompeten,60200125069,E,UNIFIED
0.875,80.75,80.75,51.0625,0.875,0.875,0.625,1,Kompeten,60200125070,E,UNIFIED
1.0,91.75,91.75,93.875,1.0,1.0,1.0,1,Kompeten,60200125091,E,UNIFIED
0.75,62.375,62.375,62.75,0.75,0.75,0.875,0,Belum Kompeten,60200125095,E,UNIFIED
1.0,92.75,92.75,93.8125,1.0,1.0,1.0,1,Kompeten,60200125098,E,UNIFIED
0.875,78.75,78.75,78.375,0.875,0.875,1.0,1,Kompeten,60200125111,E,UNIFIED
1.0,91.875,91.875,94.6875,1.0,1.0,1.0,1,Kompeten,60200125112,E,UNIFIED
1.0,91.875,91.875,94.6875,1.0,1.0,1.0,1,Kompeten,60200125145,E,UNIFIED
0.75,40.875,40.875,36.875,0.5,0.5,0.625,1,Kompeten,60200125146,E,UNIFIED
1.0,91.375,91.375,36.0625,1.0,1.0,0.375,1,Kompeten,60200125148,E,UNIFIED
1.0,89.5,89.5,89.5,1.0,1.0,1.0,1,Kompeten,60200125149,E,UNIFIED
0.875,77.75,77.75,77.8125,0.875,0.875,1.0,1,Kompeten,60200125150,E,UNIFIED
