Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Performance_Volatility,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
1.0,90.5,90.5,10.625,1.0,1.0,0.25,39.598045511531666,1,Kompeten,60200125138,D,UNIFIED
1.0,79.25,79.25,63.0,0.875,0.875,1.0,29.250949652200276,1,Kompeten,60200125139,D,UNIFIED
1.0,94.0,94.0,59.0,1.0,1.0,1.0,21.75415030644855,1,Kompeten,60200125140,D,UNIFIED
1.0,92.375,92.375,64.875,1.0,1.0,1.0,19.192509751347153,1,Kompeten,60200125141,D,UNIFIED
0.5,12.5,12.5,0.0,0.125,0.125,0.0,27.638539919628336,0,Belum Kompeten,60200125142,D,UNIFIED
0.875,80.5,80.5,43.3125,0.875,0.875,0.75,35.90380062480232,1,Kompeten,60200125143,D,UNIFIED
1.0,94.375,94.375,54.375,1.0,1.0,1.0,22.82173519306151,1,Kompeten,60200125144,D,UNIFIED
1.0,90.5,90.5,57.5625,1.0,1.0,0.625,31.365280422343147,0,Belum Kompeten,60200125005,E,UNIFIED
0.875,73.125,73.125,77.5625,0.75,0.75,1.0,36.95830397405823,1,Kompeten,60200125014,E,UNIFIED
1.0,91.75,91.75,57.25,1.0,1.0,0.625,31.24899998399949,1,Kompeten,60200125015,E,UNIFIED
0.875,82.5,82.5,82.75,0.875,0.875,1.0,26.59247491720585,1,Kompeten,60200125028,E,UNIFIED
1.0,91.75,91.75,68.25,1.0,1.0,0.75,26.40496586292477,1,Kompeten,60200125029,E,UNIFIED
0.625,22.5,22.5,25.8125,0.25,0.25,0.625,36.506557392321845,0,Belum Kompeten,60200125037,E,UNIFIED
1.0,83.25,83.25,89.125,0.875,0.875,1.0,28.018935809357377,1,Kompeten,60200125042,E,UNIFIED
0.5,12.5,12.5,14.375,0.125,0.125,0.5,29.56639773459053,0,Belum Kompeten,60200125044,E,UNIFIED
1.0,92.125,92.125,42.625,1.0,1.0,0.5,34.57577728699675,1,Kompeten,60200125045,E,UNIFIED
0.875,80.625,80.625,80.875,0.875,0.875,1.0,28.005176852781265,1,Kompeten,60200125069,E,UNIFIED
0.875,80.75,80.75,51.0625,0.875,0.875,0.625,37.788192370618745,1,Kompeten,60200125070,E,UNIFIED
1.0,91.75,91.75,93.875,1.0,1.0,1.0,7.648415776413367,1,Kompeten,60200125091,E,UNIFIED
0.75,62.375,62.375,62.75,0.75,0.75,0.875,34.226877839888736,0,Belum Kompeten,60200125095,E,UNIFIED
1.0,92.75,92.75,93.8125,1.0,1.0,1.0,9.574248411175098,1,Kompeten,60200125098,E,UNIFIED
0.875,78.75,78.75,78.375,0.875,0.875,1.0,28.12999955563455,1,Kompeten,60200125111,E,UNIFIED
1.0,91.875,91.875,94.6875,1.0,1.0,1.0,9.839135823333267,1,Kompeten,60200125112,E,UNIFIED
1.0,91.875,91.875,94.6875,1.0,1.0,1.0,9.839135823333267,1,Kompeten,60200125145,E,UNIFIED
0.75,40.875,40.875,36.875,0.5,0.5,0.625,38.914413746351386,1,Kompeten,60200125146,E,UNIFIED
1.0,91.375,91.375,36.0625,1.0,1.0,0.375,38.20021610431892,1,Kompeten,60200125148,E,UNIFIED
1.0,89.5,89.5,89.5,1.0,1.0,1.0,8.42367694853817,1,Kompeten,60200125149,E,UNIFIED
0.875,77.75,77.75,77.8125,0.875,0.875,1.0,27.4396987223297,1,Kompeten,60200125150,E,UNIFIED
