Attendance_PreFinal_Rate,TP_Mean,Respons_Mean,Laporan_Mean,TP_Completion_Rate,Respons_Completion_Rate,Laporan_Completion_Rate,Competency_Label,Competency_Name,NIM,Class,Scoring_Scheme
0.75,43.25,43.25,33.25,0.5,0.5,0.5,1,Kompeten,60200125119,A,UNIFIED
1.0,84.5,84.5,84.375,1.0,1.0,1.0,1,Kompeten,60200125120,A,UNIFIED
0.75,63.75,63.75,53.0,0.75,0.75,0.75,1,Kompeten,60200125121,A,UNIFIED
1.0,84.25,84.25,80.125,1.0,1.0,1.0,1,Kompeten,60200125122,A,UNIFIED
0.875,70.5,60.5,74.25,1.0,0.75,1.0,0,Belum Kompeten,60200125147,A,UNIFIED
1.0,84.75,84.75,80.5,1.0,1.0,1.0,1,Kompeten,60200125151,A,UNIFIED
0.75,62.75,62.75,21.875,0.75,0.75,0.25,0,Belum Kompeten,60200125152,A,UNIFIED
1.0,86.0,86.0,88.625,1.0,1.0,1.0,1,Kompeten,60200125154,A,UNIFIED
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125002,B,UNIFIED
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125008,B,UNIFIED
1.0,87.0,87.0,74.625,1.0,1.0,1.0,1,Kompeten,60200125009,B,UNIFIED
1.0,90.75,90.75,88.375,1.0,1.0,1.0,1,Kompeten,60200125019,B,UNIFIED
1.0,90.0,90.0,89.0,1.0,1.0,1.0,1,Kompeten,60200125020,B,UNIFIED
1.0,91.25,91.25,87.625,1.0,1.0,1.0,1,Kompeten,60200125021,B,UNIFIED
1.0,70.75,70.75,65.25,0.75,0.75,1.0,1,Kompeten,60200125035,B,UNIFIED
1.0,90.5,90.5,62.75,1.0,1.0,1.0,0,Belum Kompeten,60200125036,B,UNIFIED
1.0,70.0,70.0,54.0,0.75,0.75,1.0,1,Kompeten,60200125048,B,UNIFIED
0.5,0.0,0.0,0.0,0.0,0.0,0.0,1,Kompeten,60200125054,B,UNIFIED
1.0,90.0,90.0,76.375,1.0,1.0,1.0,1,Kompeten,60200125055,B,UNIFIED
1.0,86.75,86.75,74.625,1.0,1.0,1.0,1,Kompeten,60200125056,B,UNIFIED
1.0,88.0,88.0,30.75,1.0,1.0,0.5,1,Kompeten,60200125057,B,UNIFIED
0.75,90.0,90.0,88.125,1.0,1.0,1.0,1,Kompeten,60200125058,B,UNIFIED
1.0,90.5,90.5,63.625,1.0,1.0,0.75,1,Kompeten,60200125072,B,UNIFIED
0.75,0.0,0.0,0.0,0.0,0.0,0.0,1,Kompeten,60200125079,B,UNIFIED
0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125080,B,UNIFIED
0.75,0.0,0.0,20.0,0.0,0.0,0.25,0,Belum Kompeten,60200125081,B,UNIFIED
0.75,25.0,25.0,65.375,0.25,0.25,1.0,1,Kompeten,60200125094,B,UNIFIED
1.0,70.0,70.0,85.375,0.75,0.75,1.0,1,Kompeten,60200125096,B,UNIFIED
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125102,B,UNIFIED
1.0,70.75,70.75,87.625,0.75,0.75,1.0,1,Kompeten,60200125103,B,UNIFIED
1.0,86.5,86.5,88.375,1.0,1.0,1.0,1,Kompeten,60200125104,B,UNIFIED
1.0,90.0,90.0,86.0,1.0,1.0,1.0,1,Kompeten,60200125113,B,UNIFIED
0.75,90.75,90.75,72.375,1.0,1.0,1.0,1,Kompeten,60200125115,B,UNIFIED
1.0,91.75,91.75,88.5,1.0,1.0,1.0,1,Kompeten,60200125123,B,UNIFIED
0.5,18.75,18.75,0.0,0.25,0.25,0.0,1,Kompeten,60200125124,B,UNIFIED
0.5,71.0,71.0,77.25,0.75,0.75,1.0,0,Belum Kompeten,60200125125,B,UNIFIED
1.0,91.0,91.0,62.5,1.0,1.0,1.0,1,Kompeten,60200125126,B,UNIFIED
0.75,65.0,65.0,64.0,0.75,0.75,0.75,0,Belum Kompeten,60200125127,B,UNIFIED
1.0,90.0,90.0,52.75,1.0,1.0,1.0,1,Kompeten,60200125128,B,UNIFIED
1.0,90.75,90.75,55.25,1.0,1.0,0.75,1,Kompeten,60200125129,B,UNIFIED
0.75,20.0,20.0,20.75,0.25,0.25,0.25,0,Belum Kompeten,60200125153,B,UNIFIED
1.0,92.25,92.25,65.25,1.0,1.0,1.0,1,Kompeten,60200125155,B,UNIFIED
1.0,86.75,86.75,86.125,1.0,1.0,1.0,1,Kompeten,60200125010,C,UNIFIED
1.0,84.5,84.5,85.375,1.0,1.0,1.0,1,Kompeten,60200125011,C,UNIFIED
1.0,85.5,85.5,84.0625,1.0,1.0,1.0,1,Kompeten,60200125022,C,UNIFIED
1.0,85.75,85.75,83.625,1.0,1.0,1.0,0,Belum Kompeten,60200125023,C,UNIFIED
1.0,86.0,86.0,84.5,1.0,1.0,1.0,1,Kompeten,60200125024,C,UNIFIED
1.0,82.0,82.0,73.625,1.0,1.0,1.0,0,Belum Kompeten,60200125038,C,UNIFIED
0.75,87.5,87.5,84.125,1.0,1.0,1.0,1,Kompeten,60200125039,C,UNIFIED
1.0,87.5,64.5,84.5,1.0,0.75,1.0,1,Kompeten,60200125040,C,UNIFIED
1.0,82.75,82.75,83.875,1.0,1.0,1.0,0,Belum Kompeten,60200125046,C,UNIFIED
0.5,73.0,43.0,74.125,1.0,0.5,1.0,0,Belum Kompeten,60200125059,C,UNIFIED
1.0,78.625,82.75,79.625,1.0,1.0,1.0,1,Kompeten,60200125060,C,UNIFIED
0.25,41.5,41.5,21.25,0.5,0.5,0.25,0,Belum Kompeten,60200125061,C,UNIFIED
1.0,86.75,65.5,86.25,1.0,0.75,1.0,1,Kompeten,60200125062,C,UNIFIED
0.5,64.0,64.0,20.625,0.75,0.75,0.25,0,Belum Kompeten,60200125063,C,UNIFIED
0.125,60.75,20.75,50.0,1.0,0.25,1.0,0,Belum Kompeten,60200125073,C,UNIFIED
1.0,88.25,88.25,84.8125,1.0,1.0,1.0,1,Kompeten,60200125083,C,UNIFIED
0.75,80.375,59.0,83.875,1.0,0.75,1.0,0,Belum Kompeten,60200125084,C,UNIFIED
0.75,86.5,86.5,84.875,1.0,1.0,1.0,0,Belum Kompeten,60200125085,C,UNIFIED
1.0,81.0,81.0,78.925,1.0,1.0,1.0,0,Belum Kompeten,60200125086,C,UNIFIED
1.0,85.75,85.75,85.0,1.0,1.0,1.0,1,Kompeten,60200125087,C,UNIFIED
1.0,85.25,85.25,85.5,1.0,1.0,1.0,1,Kompeten,60200125105,C,UNIFIED
0.0,72.25,0.0,66.125,1.0,0.0,1.0,0,Belum Kompeten,60200125106,C,UNIFIED
1.0,86.5,86.5,84.375,1.0,1.0,1.0,0,Belum Kompeten,60200125107,C,UNIFIED
0.5,42.75,42.75,10.25,0.5,0.5,0.25,0,Belum Kompeten,60200125130,C,UNIFIED
0.5,80.75,80.75,82.5,1.0,1.0,1.0,0,Belum Kompeten,60200125131,C,UNIFIED
0.5,85.0,63.25,79.75,1.0,0.75,1.0,1,Kompeten,60200125132,C,UNIFIED
0.75,80.5,80.5,83.125,1.0,1.0,1.0,1,Kompeten,60200125133,C,UNIFIED
0.25,73.125,21.625,76.75,1.0,0.25,1.0,1,Kompeten,60200125134,C,UNIFIED
0.5,62.5,42.5,45.75,1.0,0.5,0.75,0,Belum Kompeten,60200125135,C,UNIFIED
0.25,20.0,20.0,0.0,0.25,0.25,0.0,0,Belum Kompeten,60200125136,C,UNIFIED
1.0,84.5,84.25,79.125,1.0,1.0,1.0,0,Belum Kompeten,60200125137,C,UNIFIED
1.0,85.75,85.75,83.75,1.0,1.0,1.0,1,Kompeten,60200125156,C,UNIFIED
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200123102,D,UNIFIED
1.0,90.5,90.5,65.0,1.0,1.0,0.75,1,Kompeten,60200125004,D,UNIFIED
0.75,20.0,20.0,0.0,0.25,0.25,0.0,0,Belum Kompeten,60200125012,D,UNIFIED
1.0,70.0,70.0,54.625,0.75,0.75,1.0,1,Kompeten,60200125013,D,UNIFIED
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125025,D,UNIFIED
1.0,92.0,92.0,74.125,1.0,1.0,1.0,1,Kompeten,60200125026,D,UNIFIED
1.0,71.25,71.25,75.625,0.75,0.75,1.0,1,Kompeten,60200125027,D,UNIFIED
1.0,90.5,90.5,65.75,1.0,1.0,0.75,1,Kompeten,60200125030,D,UNIFIED
1.0,92.75,92.75,63.25,1.0,1.0,1.0,1,Kompeten,60200125041,D,UNIFIED
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125043,D,UNIFIED
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125052,D,UNIFIED
1.0,91.25,91.25,75.875,1.0,1.0,1.0,1,Kompeten,60200125064,D,UNIFIED
0.75,0.0,0.0,11.375,0.0,0.0,0.25,0,Belum Kompeten,60200125065,D,UNIFIED
1.0,90.75,90.75,75.75,1.0,1.0,1.0,1,Kompeten,60200125066,D,UNIFIED
1.0,90.75,90.75,87.125,1.0,1.0,1.0,1,Kompeten,60200125067,D,UNIFIED
1.0,90.0,90.0,54.125,1.0,1.0,1.0,0,Belum Kompeten,60200125068,D,UNIFIED
1.0,70.0,70.0,63.75,0.75,0.75,1.0,1,Kompeten,60200125071,D,UNIFIED
1.0,92.0,92.0,42.75,1.0,1.0,0.75,1,Kompeten,60200125076,D,UNIFIED
1.0,91.75,91.75,74.875,1.0,1.0,1.0,1,Kompeten,60200125082,D,UNIFIED
1.0,70.0,70.0,65.875,0.75,0.75,1.0,1,Kompeten,60200125089,D,UNIFIED
1.0,91.75,91.75,75.375,1.0,1.0,1.0,1,Kompeten,60200125090,D,UNIFIED
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125092,D,UNIFIED
1.0,91.0,91.0,76.875,1.0,1.0,1.0,1,Kompeten,60200125093,D,UNIFIED
0.75,25.0,25.0,11.375,0.25,0.25,0.25,0,Belum Kompeten,60200125097,D,UNIFIED
1.0,91.25,91.25,76.875,1.0,1.0,1.0,1,Kompeten,60200125108,D,UNIFIED
1.0,70.0,70.0,76.75,0.75,0.75,1.0,0,Belum Kompeten,60200125109,D,UNIFIED
1.0,91.75,91.75,74.75,1.0,1.0,1.0,1,Kompeten,60200125110,D,UNIFIED
1.0,88.75,88.75,0.0,1.0,1.0,0.0,1,Kompeten,60200125138,D,UNIFIED
1.0,90.75,90.75,63.25,1.0,1.0,1.0,1,Kompeten,60200125139,D,UNIFIED
1.0,91.25,91.25,75.875,1.0,1.0,1.0,1,Kompeten,60200125140,D,UNIFIED
1.0,91.75,91.75,66.375,1.0,1.0,1.0,1,Kompeten,60200125141,D,UNIFIED
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0,Belum Kompeten,60200125142,D,UNIFIED
1.0,90.0,90.0,65.125,1.0,1.0,1.0,1,Kompeten,60200125143,D,UNIFIED
1.0,92.25,92.25,66.25,1.0,1.0,1.0,1,Kompeten,60200125144,D,UNIFIED
1.0,89.75,89.75,44.25,1.0,1.0,0.5,0,Belum Kompeten,60200125005,E,UNIFIED
0.75,50.0,50.0,62.5,0.5,0.5,1.0,1,Kompeten,60200125014,E,UNIFIED
1.0,91.25,91.25,44.0,1.0,1.0,0.5,1,Kompeten,60200125015,E,UNIFIED
1.0,90.0,90.0,86.5,1.0,1.0,1.0,1,Kompeten,60200125028,E,UNIFIED
1.0,91.25,91.25,66.25,1.0,1.0,0.75,1,Kompeten,60200125029,E,UNIFIED
0.75,0.0,0.0,32.5,0.0,0.0,0.5,0,Belum Kompeten,60200125037,E,UNIFIED
1.0,70.0,70.0,82.5,0.75,0.75,1.0,1,Kompeten,60200125042,E,UNIFIED
0.75,0.0,0.0,12.5,0.0,0.0,0.25,0,Belum Kompeten,60200125044,E,UNIFIED
1.0,92.5,92.5,0.0,1.0,1.0,0.0,1,Kompeten,60200125045,E,UNIFIED
1.0,91.25,91.25,90.0,1.0,1.0,1.0,1,Kompeten,60200125069,E,UNIFIED
1.0,89.75,89.75,44.0,1.0,1.0,0.5,1,Kompeten,60200125070,E,UNIFIED
1.0,91.25,91.25,91.75,1.0,1.0,1.0,1,Kompeten,60200125091,E,UNIFIED
1.0,79.75,79.75,84.875,1.0,1.0,1.0,0,Belum Kompeten,60200125095,E,UNIFIED
1.0,88.75,88.75,88.75,1.0,1.0,1.0,1,Kompeten,60200125098,E,UNIFIED
1.0,82.5,82.5,87.5,1.0,1.0,1.0,1,Kompeten,60200125111,E,UNIFIED
1.0,87.5,87.5,91.25,1.0,1.0,1.0,1,Kompeten,60200125112,E,UNIFIED
1.0,87.5,87.5,91.25,1.0,1.0,1.0,1,Kompeten,60200125145,E,UNIFIED
1.0,40.0,40.0,39.25,0.5,0.5,0.5,1,Kompeten,60200125146,E,UNIFIED
1.0,86.25,86.25,22.25,1.0,1.0,0.25,1,Kompeten,60200125148,E,UNIFIED
1.0,92.25,92.25,86.375,1.0,1.0,1.0,1,Kompeten,60200125149,E,UNIFIED
1.0,84.0,84.0,86.375,1.0,1.0,1.0,1,Kompeten,60200125150,E,UNIFIED
